id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401437037101849902,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Liam Gray kickoff for 65 yds for a touchback,,2022-12-03T20:40:41.000Z,14,Coastal Carolina,2022
401437037101855001,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,2,1,"{'minutes': 14, 'seconds': 49}",3,3,25,75,1,10,False,-1,Rush,Kimani Vidal run for a loss of 1 yard to the Troy 24,-0.80148935081570998,2022-12-03T20:41:39.000Z,14,Coastal Carolina,2022
401437037101856501,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,3,1,"{'minutes': 14, 'seconds': 34}",3,3,24,76,2,11,False,21,Pass Reception,Gunnar Watson pass complete to Deyunkrea Lewis for 21 yds to the Troy 45 for a 1ST down,2.60263123322066648,2022-12-03T20:42:16.000Z,14,Coastal Carolina,2022
401437037101864701,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,4,1,"{'minutes': 13, 'seconds': 52}",3,3,45,55,1,10,False,1,Rush,Kimani Vidal run for 1 yd to the Troy 46,-0.9265072803619887,2022-12-03T20:42:38.000Z,14,Coastal Carolina,2022
401437037101868601,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,5,1,"{'minutes': 13, 'seconds': 13}",3,3,46,54,2,9,False,1,Rush,Kimani Vidal run for 1 yd to the Troy 47,-0.8033718298669639,2022-12-03T20:43:18.000Z,14,Coastal Carolina,2022
401437037101874401,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,6,1,"{'minutes': 12, 'seconds': 55}",3,3,47,53,3,8,False,29,Pass Reception,Gunnar Watson pass complete to Tez Johnson for 29 yds to the CCaro 24 for a 1ST down,3.3250543989383426,2022-12-03T20:43:55.000Z,14,Coastal Carolina,2022
401437037101879701,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,7,1,"{'minutes': 12, 'seconds': 2}",3,3,76,24,1,10,False,1,Rush,Kimani Vidal run for 1 yd to the CCaro 23,-0.3334518667191766,2022-12-03T20:44:31.000Z,14,Coastal Carolina,2022
401437037101887501,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,8,1,"{'minutes': 11, 'seconds': 24}",3,3,77,23,2,9,False,0,Pass Incompletion,Gunnar Watson pass incomplete,-0.5359237345216901,2022-12-03T20:45:10.000Z,14,Coastal Carolina,2022
401437037101888201,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,9,1,"{'minutes': 11, 'seconds': 17}",3,3,77,23,3,9,False,5,Penalty,"COASTL CAROLINA Penalty, Defensive Offside (5 Yards) to the CCaro 18",,2022-12-03T20:46:13.000Z,14,Coastal Carolina,2022
401437037101888801,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,0,0,401437037,4014370371,1,10,1,"{'minutes': 11, 'seconds': 11}",3,3,82,18,3,4,False,0,Pass Incompletion,Gunnar Watson pass incomplete,-0.5441679919678444,2022-12-03T20:46:49.000Z,14,Coastal Carolina,2022
401437037101889201,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,3,0,401437037,4014370371,1,11,1,"{'minutes': 11, 'seconds': 7}",3,3,82,18,4,4,True,35,Field Goal Good,Brooks Buce 35 yd FG GOOD,,2022-12-03T20:47:31.000Z,14,Coastal Carolina,2022
401437037101889202,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,3,0,401437037,4014370372,2,1,1,"{'minutes': 11, 'seconds': 7}",3,3,35,65,4,4,False,0,Kickoff,Brooks Buce kickoff for 65 yds for a touchback,,2022-12-03T20:47:31.000Z,14,Coastal Carolina,2022
401437037101895901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,3,401437037,4014370372,2,2,1,"{'minutes': 10, 'seconds': 40}",3,3,75,75,1,10,False,4,Pass Reception,Grayson McCall pass complete to Sam Pinckney for 4 yds to the CCaro 29,-0.1142886249388964,2022-12-03T20:52:12.000Z,14,Coastal Carolina,2022
401437037101898901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,3,401437037,4014370372,2,3,1,"{'minutes': 10, 'seconds': 10}",3,3,71,71,2,6,False,3,Rush,CJ Beasley run for 3 yds to the CCaro 32,-0.2748655161762548,2022-12-03T20:52:48.000Z,14,Coastal Carolina,2022
401437037101905101,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,3,401437037,4014370372,2,4,1,"{'minutes': 9, 'seconds': 48}",3,3,68,68,3,3,False,0,Pass Incompletion,Grayson McCall pass incomplete,-0.513943533401327774,2022-12-03T20:53:08.000Z,14,Coastal Carolina,2022
401437037101905901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,3,401437037,4014370372,2,5,1,"{'minutes': 9, 'seconds': 40}",3,3,68,68,4,3,False,0,Punt,"Evan Crenshaw punt for 33 yds, punt out-of-bounds at the Troy 35",,2022-12-03T20:54:11.000Z,14,Coastal Carolina,2022
401437037101907101,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,10,0,401437037,4014370373,3,1,1,"{'minutes': 9, 'seconds': 28}",3,3,35,65,1,10,True,65,Passing Touchdown,Gunnar Watson pass complete to Deshon Stoudemire for 65 yds for a TD (Brooks Buce KICK),5.2427170106913348,2022-12-03T20:55:20.000Z,14,Coastal Carolina,2022
401437037101907103,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,10,0,401437037,4014370374,4,1,1,"{'minutes': 9, 'seconds': 28}",3,3,35,65,1,10,False,0,Kickoff,Brooks Buce kickoff for 65 yds for a touchback,,2022-12-03T20:55:20.000Z,14,Coastal Carolina,2022
401437037101908101,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,10,401437037,4014370374,4,2,1,"{'minutes': 9, 'seconds': 18}",3,3,75,75,1,10,False,5,Rush,Braydon Bennett run for 5 yds to the CCaro 30,0.0945451165334843,2022-12-03T21:00:07.000Z,14,Coastal Carolina,2022
401437037101916401,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,10,401437037,4014370374,4,3,1,"{'minutes': 8, 'seconds': 35}",3,3,70,70,2,5,False,6,Pass Reception,Grayson McCall pass complete to Sam Pinckney for 6 yds to the CCaro 36 for a 1ST down,0.8360173954125062,2022-12-03T21:00:58.000Z,14,Coastal Carolina,2022
401437037101919901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,10,401437037,4014370374,4,4,1,"{'minutes': 8, 'seconds': 0}",3,3,64,64,1,10,False,3,Rush,Grayson McCall run for 3 yds to the CCaro 39,-0.4136553890915255,2022-12-03T21:01:43.000Z,14,Coastal Carolina,2022
401437037101926901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,10,401437037,4014370374,4,5,1,"{'minutes': 7, 'seconds': 30}",3,3,61,61,2,7,False,-4,Pass Reception,Grayson McCall pass complete to CJ Beasley for a loss of 4 yards to the CCaro 35,-1.34774312544514617,2022-12-03T21:02:22.000Z,14,Coastal Carolina,2022
401437037101936901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,10,401437037,4014370374,4,6,1,"{'minutes': 6, 'seconds': 30}",3,3,65,65,3,11,False,-6,Sack,Grayson McCall sacked by Will Choloh for a loss of 6 yards to the CCaro 29,-0.42185765137323283,2022-12-03T21:03:02.000Z,14,Coastal Carolina,2022
401437037101944701,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,10,401437037,4014370374,4,7,1,"{'minutes': 5, 'seconds': 52}",3,3,71,71,4,17,False,10,Punt,"Evan Crenshaw punt for 43 yds , Orlando Lacey returns for 10 yds to the Troy 38",,2022-12-03T21:04:30.000Z,14,Coastal Carolina,2022
401437037101945901,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,10,0,401437037,4014370375,5,1,1,"{'minutes': 5, 'seconds': 40}",3,3,38,62,1,10,False,18,Pass Reception,Gunnar Watson pass complete to Tez Johnson for 18 yds to the CCaro 44 for a 1ST down,1.5401212831694693,2022-12-03T21:07:10.000Z,14,Coastal Carolina,2022
401437037101955501,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,10,0,401437037,4014370375,5,2,1,"{'minutes': 4, 'seconds': 44}",3,3,56,44,1,10,False,9,Rush,DK Billingsley run for 9 yds to the CCaro 35,0.9315823230417933,2022-12-03T21:08:00.000Z,14,Coastal Carolina,2022
401437037101957301,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,10,0,401437037,4014370375,5,3,1,"{'minutes': 4, 'seconds': 26}",3,3,65,35,2,1,False,27,Pass Reception,Gunnar Watson pass complete to RaJae' Johnson for 27 yds to the CCaro 8 for a 1ST down,0.161700465768536,2022-12-03T21:08:42.000Z,14,Coastal Carolina,2022
401437037101959001,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370375,5,4,1,"{'minutes': 4, 'seconds': 9}",3,3,92,8,1,8,True,8,Rushing Touchdown,DK Billingsley run for 8 yds for a TD (Brooks Buce KICK),2.319599568699692,2022-12-03T21:08:55.000Z,14,Coastal Carolina,2022
401437037101959003,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370376,6,1,1,"{'minutes': 4, 'seconds': 9}",3,3,35,65,1,10,False,0,Kickoff,Brooks Buce kickoff for 65 yds for a touchback,,2022-12-03T21:10:40.000Z,14,Coastal Carolina,2022
401437037101965401,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370376,6,2,1,"{'minutes': 3, 'seconds': 45}",3,3,75,75,1,10,False,-14,Fumble Recovery (Own),"TEAM run for a loss of 14 yards to the CCaro 11 TEAM fumbled, recovered by CCaro",-1.2784356999285374,2022-12-03T21:12:31.000Z,14,Coastal Carolina,2022
401437037101967801,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370376,6,3,1,"{'minutes': 3, 'seconds': 21}",3,3,89,89,2,24,False,11,Rush,Braydon Bennett run for 11 yds to the CCaro 22,0.1120279221407188,2022-12-03T21:12:57.000Z,14,Coastal Carolina,2022
401437037101975401,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370376,6,4,1,"{'minutes': 2, 'seconds': 45}",3,3,78,78,3,13,False,12,Pass Reception,Grayson McCall pass complete to Tyson Mobley for 12 yds to the CCaro 34,0.4427274596744688,2022-12-03T21:13:44.000Z,14,Coastal Carolina,2022
401437037101984901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370376,6,5,1,"{'minutes': 1, 'seconds': 50}",3,3,66,66,4,1,False,-2,Rush,Grayson McCall run for a loss of 2 yards to the CCaro 32,-0.1985645621653287,2022-12-03T21:14:28.000Z,14,Coastal Carolina,2022
401437037101985901,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370377,7,1,1,"{'minutes': 1, 'seconds': 40}",3,3,68,32,1,10,False,-10,Penalty,"TROY Penalty, Offensive Holding (-10 Yards) to the CCaro 42",,2022-12-03T21:15:37.000Z,14,Coastal Carolina,2022
401437037101988801,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370377,7,2,1,"{'minutes': 1, 'seconds': 11}",3,3,58,42,1,20,False,1,Rush,Kimani Vidal run for 1 yd to the CCaro 41,-0.7963600987116254,2022-12-03T21:16:09.000Z,14,Coastal Carolina,2022
401437037101988802,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370377,7,3,1,"{'minutes': 1, 'seconds': 11}",3,3,59,41,2,19,False,-6,Fumble Recovery (Own),"Gunnar Watson sacked by Adrian Hope for a loss of 6 yards to the CCaro 48 Gunnar Watson fumbled, recovered by Troy Clayton Ollendieck , return for 0 yards , return for a loss of 1 yard to the CCaro 48",-1.67684074317800223,2022-12-03T21:16:09.000Z,14,Coastal Carolina,2022
401437037101997901,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370377,7,4,1,"{'seconds': 20, 'minutes': 0}",3,3,52,48,3,26,False,6,Pass Reception,Gunnar Watson pass complete to Kimani Vidal for 6 yds to the CCaro 42,0.09629411583816783,2022-12-03T21:19:12.000Z,14,Coastal Carolina,2022
401437037101997902,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370377,7,5,1,"{'minutes': 0, 'seconds': 0}",3,3,52,48,0,26,False,0,End Period,End of 1st Quarter,,2022-12-03T21:19:12.000Z,14,Coastal Carolina,2022
401437037102854801,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370377,7,6,2,"{'minutes': 14, 'seconds': 51}",3,3,58,42,4,20,False,0,Punt,"Mike Rivers punt for 34 yds, downed at the CCaro 8",,2022-12-03T21:22:52.000Z,14,Coastal Carolina,2022
401437037102856501,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370378,8,1,2,"{'minutes': 14, 'seconds': 34}",3,3,92,92,1,10,False,1,Rush,Reese White run for 1 yd to the CCaro 9,-0.2687904165419095,2022-12-03T21:23:51.000Z,14,Coastal Carolina,2022
401437037102858901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370378,8,2,2,"{'minutes': 14, 'seconds': 10}",3,3,91,91,2,9,False,0,Pass Incompletion,Grayson McCall pass incomplete,-0.1676545818287849,2022-12-03T21:24:17.000Z,14,Coastal Carolina,2022
401437037102865401,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370378,8,3,2,"{'minutes': 13, 'seconds': 45}",3,3,91,91,3,9,False,1,Rush,Grayson McCall run for 1 yd to the CCaro 10,-0.06050781509838466,2022-12-03T21:25:18.000Z,14,Coastal Carolina,2022
401437037102867801,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,17,401437037,4014370378,8,4,2,"{'minutes': 13, 'seconds': 21}",3,3,90,90,4,8,False,0,Punt,"Evan Crenshaw punt for 38 yds, fair catch by Tez Johnson at the CCaro 48",,2022-12-03T21:26:07.000Z,14,Coastal Carolina,2022
401437037102874401,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,17,0,401437037,4014370379,9,1,2,"{'minutes': 12, 'seconds': 55}",3,3,52,48,1,10,False,15,Pass Reception,Gunnar Watson pass complete to Deshon Stoudemire for 15 yds to the CCaro 33 for a 1ST down,0.783159062777969,2022-12-03T21:29:11.000Z,14,Coastal Carolina,2022
401437037102876301,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,24,0,401437037,4014370379,9,2,2,"{'minutes': 12, 'seconds': 36}",3,3,67,33,1,10,True,33,Rushing Touchdown,DK Billingsley run for 33 yds for a TD (Brooks Buce KICK),2.903074773501988,2022-12-03T21:30:16.000Z,14,Coastal Carolina,2022
401437037102876303,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,24,0,401437037,40143703710,10,1,2,"{'minutes': 12, 'seconds': 36}",3,3,35,65,1,10,False,0,Kickoff,Brooks Buce kickoff for 65 yds for a touchback,,2022-12-03T21:32:20.000Z,14,Coastal Carolina,2022
401437037102878701,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,24,401437037,40143703710,10,2,2,"{'minutes': 12, 'seconds': 12}",3,3,75,75,1,10,False,2,Rush,CJ Beasley run for 2 yds to the CCaro 27,-0.45260367932203764,2022-12-03T21:33:17.000Z,14,Coastal Carolina,2022
401437037102885401,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,24,401437037,40143703710,10,3,2,"{'minutes': 11, 'seconds': 45}",3,3,73,73,2,8,False,0,Pass Incompletion,Grayson McCall pass incomplete,-0.478807516136629198,2022-12-03T21:34:23.000Z,14,Coastal Carolina,2022
401437037102885901,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,24,401437037,40143703710,10,4,2,"{'minutes': 11, 'seconds': 40}",3,3,73,73,3,8,False,0,Pass Incompletion,Grayson McCall pass incomplete,-0.224210286453998542,2022-12-03T21:34:51.000Z,14,Coastal Carolina,2022
401437037102886601,Coastal Carolina,Sun Belt,Troy,Sun Belt,Troy,Coastal Carolina,0,24,401437037,40143703710,10,5,2,"{'minutes': 11, 'seconds': 33}",3,3,73,73,4,8,False,47,Punt,"Evan Crenshaw punt for 37 yds, fair catch by Tez Johnson at the TROY 36 TROY Penalty, Offensive Holding (10 Yards) to the Troy 26",,2022-12-03T21:36:07.000Z,14,Coastal Carolina,2022
401437037102888801,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,24,0,401437037,40143703711,11,1,2,"{'minutes': 11, 'seconds': 11}",3,3,26,74,1,10,False,2,Rush,Kimani Vidal run for 2 yds to the Troy 28,-0.4716869696142973,2022-12-03T21:39:47.000Z,14,Coastal Carolina,2022
401437037102895401,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,24,0,401437037,40143703711,11,2,2,"{'minutes': 10, 'seconds': 45}",3,3,28,72,2,8,False,4,Pass Reception,"Gunnar Watson pass complete to Deshon Stoudemire for 19 yds to the Troy 47 TROY Penalty, Unnecessary Roughness (-15 Yards) to the Troy 32",-0.08697831516230717,2022-12-03T21:41:18.000Z,14,Coastal Carolina,2022
401437037102897101,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,24,0,401437037,40143703711,11,3,2,"{'minutes': 10, 'seconds': 28}",3,3,32,68,2,4,False,0,Pass Incompletion,Gunnar Watson pass incomplete,-0.90067771678742837,2022-12-03T21:41:35.000Z,14,Coastal Carolina,2022
401437037102898901,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,24,0,401437037,40143703711,11,4,2,"{'minutes': 10, 'seconds': 10}",3,3,32,68,3,4,False,1,Rush,Kimani Vidal run for 1 yd to the Troy 33,-0.38804511043801515,2022-12-03T21:42:23.000Z,14,Coastal Carolina,2022
401437037102905201,Troy,Sun Belt,Coastal Carolina,Sun Belt,Troy,Coastal Carolina,31,0,401437037,40143703711,11,5,2,"{'minutes': 9, 'seconds': 47}",3,3,33,67,4,3,True,67,Passing Touchdown,Gunnar Watson pass complete to RaJae' Johnson for 67 yds for a TD (Brooks Buce KICK),6.95348670767558552,2022-12-03T21:43:00.000Z,14,Coastal Carolina,2022
