id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415611101849903,Delaware,CAA,Navy,American Athletic,Navy,Delaware,0,0,401415611,4014156111,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,21,Kickoff Return (Offense),"Brandon Ratcliffe kickoff for 58 yds , Maquel Haywood return for 21 yds to the Navy 28",,2022-09-03T16:04:04.000Z,1,Navy,2022
401415611101855101,Navy,American Athletic,Delaware,CAA,Navy,Delaware,0,0,401415611,4014156111,1,2,1,"{'minutes': 14, 'seconds': 48}",3,3,28,72,1,10,False,7,Rush,Tai Lavatai run for 7 yds to the Navy 21,0.6473671294139649,2022-09-03T16:45:29.000Z,1,Navy,2022
401415611101855103,Delaware,CAA,Navy,American Athletic,Navy,Delaware,0,0,401415611,4014156112,2,1,1,"{'minutes': 14, 'seconds': 48}",3,3,21,21,1,10,False,15,Penalty,"Shotgun Henderson,Nolan pass incomplete short middle to Pitts,Thyrick PENALTY Navy Pass Interference (Lane,Rayuan) 15 yards from Navy21 to Navy06, 1ST DOWN. NO PLAY.",,2022-09-03T16:45:29.000Z,1,Navy,2022
401415611101856101,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156112,2,2,1,"{'minutes': 14, 'seconds': 38}",3,3,6,6,1,6,True,6,Passing Touchdown,"Nolan Henderson pass complete to Bryce De Maille for 6 yds for a TD, (Brandon Ratcliffe KICK)",2.052489771065277,2022-09-03T16:06:50.000Z,1,Navy,2022
401415611101856601,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156113,3,1,1,"{'minutes': 14, 'seconds': 33}",3,3,65,65,1,10,False,21,Kickoff Return (Offense),"Brandon Ratcliffe kickoff for 54 yds , Daniel Jones return for 21 yds to the Navy 32",,2022-09-03T16:10:52.000Z,1,Navy,2022
401415611101856603,Navy,American Athletic,Delaware,CAA,Navy,Delaware,0,7,401415611,4014156113,3,2,1,"{'minutes': 14, 'seconds': 33}",3,3,32,68,1,10,False,2,Rush,Logan Point run for 2 yds to the Navy 34,-0.5836824413377926,2022-09-03T16:10:52.000Z,1,Navy,2022
401415611101856604,Navy,American Athletic,Delaware,CAA,Navy,Delaware,0,7,401415611,4014156113,3,3,1,"{'minutes': 14, 'seconds': 33}",3,3,34,66,2,8,False,5,Rush,Tai Lavatai run for 5 yds to the Navy 29,0.0752135256490530,2022-09-03T16:10:52.000Z,1,Navy,2022
401415611101856605,Navy,American Athletic,Delaware,CAA,Navy,Delaware,0,7,401415611,4014156113,3,4,1,"{'minutes': 14, 'seconds': 33}",3,3,29,71,3,13,False,0,Pass Incompletion,Tai Lavatai pass incomplete to Mark Walker,-0.15130862611013996,2022-09-03T16:10:52.000Z,1,Navy,2022
401415611101868301,Navy,American Athletic,Delaware,CAA,Navy,Delaware,0,7,401415611,4014156113,3,5,1,"{'minutes': 13, 'seconds': 16}",3,3,29,71,4,13,False,0,Punt,"Riley Riethman punt for 51 yds, fair catch by Jourdan Townsend at the Delaw 20",,2022-09-03T16:13:16.000Z,1,Navy,2022
401415611101868303,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156114,4,1,1,"{'minutes': 13, 'seconds': 16}",3,3,80,80,1,10,False,0,Pass Incompletion,Nolan Henderson pass incomplete to Bryce De Maille,-0.55866937967252815,2022-09-03T16:13:16.000Z,1,Navy,2022
401415611101868304,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156114,4,2,1,"{'minutes': 13, 'seconds': 16}",3,3,80,80,2,10,False,9,Fumble Recovery (Own),"Nolan Henderson pass complete to Thyrick Pitts for 9 yds Thyrick Pitts fumbled, forced by Rayuan Lane III, recovered by Delaw Thyrick Pitts",0.55256018715854795,2022-09-03T16:13:16.000Z,1,Navy,2022
401415611101877601,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156114,4,3,1,"{'minutes': 12, 'seconds': 23}",2,3,71,71,3,1,False,0,Timeout,"Timeout DELAWARE, clock 12:23",,2022-09-03T16:04:04.000Z,1,Navy,2022
401415611101877602,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156114,4,4,1,"{'minutes': 12, 'seconds': 23}",2,3,71,71,3,1,False,4,Rush,Kyron Cumby run for 4 yds to the Delaw 25,0.9631103189779342,2022-09-03T16:04:04.000Z,1,Navy,2022
401415611101886601,Delaware,CAA,Navy,American Athletic,Navy,Delaware,7,0,401415611,4014156114,4,5,1,"{'minutes': 11, 'seconds': 33}",2,3,75,75,4,5,False,0,Punt,"Ben Dinkel punt for 48 yds, punt out-of-bounds at the Navy 27",,2022-09-03T16:18:03.000Z,1,Navy,2022
401415611101886603,Navy,American Athletic,Delaware,CAA,Navy,Delaware,0,7,401415611,4014156115,5,1,1,"{'minutes': 11, 'seconds': 33}",3,2,27,73,1,10,False,9,Rush,Maquel Haywood run for 9 yds to the Navy 36,1.2988785897355476,2022-09-03T16:18:03.000Z,1,Navy,2022
