id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426559101849904,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265591,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Tim Horn kickoff for 65 yds for a touchback,,2022-09-17T23:33:58.000Z,3,Louisiana,2022
401426559101867601,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,2,1,"{'minutes': 13, 'seconds': 23}",3,3,71,71,4,6,False,40,Punt,"Rhys Byrns punt for 46 yds , Sean Fresch returns for 40 yds to the LaLaf 35",,2022-09-18T00:16:40.000Z,3,Louisiana,2022
401426559101928202,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265591,1,3,1,"{'minutes': 7, 'seconds': 17}",3,3,35,65,1,10,False,0,Kickoff,Tim Horn kickoff for 65 yds for a touchback,,2022-09-17T23:55:31.000Z,3,Louisiana,2022
401426559101975203,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,4,1,"{'minutes': 2, 'seconds': 47}",3,3,65,65,1,10,False,0,Kickoff,Thomas Leo kickoff for 65 yds for a touchback,,2022-09-18T00:09:30.000Z,3,Louisiana,2022
401426559101000001,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,5,1,"{'minutes': 0, 'seconds': 0}",3,3,75,75,1,10,False,6,Rush,Chris Smith run for 6 yds to the LaLaf 31,0.3333748010525683,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000002,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,6,1,"{'minutes': 0, 'seconds': 0}",3,3,69,69,2,4,False,-10,Penalty,"LOUISIANA Penalty, Offensive holding (Carlos Rubio) to the LaLaf 21",,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000003,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,7,1,"{'minutes': 0, 'seconds': 0}",3,3,79,79,2,14,False,8,Pass Reception,Chandler Fields pass complete to Michael Jefferson for 8 yds to the LaLaf 29,0.25116724024856830,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000004,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,8,1,"{'minutes': 0, 'seconds': 0}",3,3,71,71,3,6,False,0,Pass Incompletion,pass incomplete to Peter LeBlanc,-0.31468972689785791,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559102947903,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,-6,401426559,4014265591,1,9,2,"{'minutes': 5, 'seconds': 20}",3,3,35,65,1,10,False,0,Kickoff,Tim Horn kickoff for 65 yds for a touchback,,2022-09-18T00:35:53.000Z,3,Louisiana,2022
401426559102988001,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265591,1,10,2,"{'minutes': 1, 'seconds': 19}",3,3,65,65,1,10,False,25,Kickoff Return (Offense),"Thomas Leo kickoff for 62 yds , Juma Otoviano return for 25 yds to the Rice 28",,2022-09-18T00:17:50.000Z,3,Louisiana,2022
401426559103849902,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,-3,401426559,4014265591,1,11,3,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Thomas Leo kickoff for 65 yds for a touchback,,2022-09-17T00:00:00.000Z,3,Louisiana,2022
401426559103897903,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265591,1,12,3,"{'minutes': 10, 'seconds': 20}",3,3,35,65,1,10,False,0,Kickoff,Tim Horn kickoff for 65 yds for a touchback,,2022-09-18T01:39:30.000Z,3,Louisiana,2022
401426559104887404,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265591,1,13,4,"{'minutes': 11, 'seconds': 25}",3,3,35,65,1,10,False,0,Kickoff,Tim Horn kickoff for 65 yds for a touchback,,2022-09-18T02:21:28.000Z,3,Louisiana,2022
401426559104908203,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,-6,401426559,4014265591,1,14,4,"{'minutes': 9, 'seconds': 17}",3,3,65,65,1,10,False,-5,Kickoff,"Thomas Leo kickoff LOUISIANA Penalty, off-side (Tyree Skipper) to the LaLaf 30",,2022-09-18T02:31:31.000Z,3,Louisiana,2022
401426559104908601,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,-6,401426559,4014265591,1,15,4,"{'minutes': 9, 'seconds': 13}",3,3,70,70,1,10,False,20,Kickoff Return (Offense),"Thomas Leo kickoff for 60 yds , Juma Otoviano return for 20 yds to the Rice 30",,2022-09-18T02:37:12.000Z,3,Louisiana,2022
401426559104974002,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,2,1,401426559,4014265591,1,16,4,"{'minutes': 2, 'seconds': 59}",3,3,35,65,1,10,False,0,Kickoff,Tim Horn kickoff for 65 yds for a touchback,,2022-09-18T02:45:14.000Z,3,Louisiana,2022
401426559101884001,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265592,2,1,1,"{'minutes': 11, 'seconds': 59}",3,3,63,37,4,12,False,0,Punt,Conor Hunt punt for 37 yds,,2022-09-17T23:41:39.000Z,3,Louisiana,2022
401426559101000005,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265592,2,2,1,"{'minutes': 0, 'seconds': 0}",3,3,65,35,1,10,False,3,Rush,Ari Broussard run for 3 yds to the LaLaf 32,-0.2162251621009335,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000006,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265592,2,3,1,"{'minutes': 0, 'seconds': 0}",3,3,68,32,2,7,False,0,Pass Incompletion,pass incomplete to Dean Connors,-0.7793420910928395,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000007,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265592,2,4,1,"{'minutes': 0, 'seconds': 0}",3,3,68,32,3,7,False,-5,Penalty,"RICE Penalty, illegal shift (-5 Yards) to the LaLaf 37",,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000008,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265592,2,5,1,"{'minutes': 0, 'seconds': 0}",3,3,63,37,3,12,False,0,Pass Incompletion,pass incomplete to Luke McCaffrey,-0.9750031408730741,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101899201,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265593,3,1,1,"{'minutes': 10, 'seconds': 7}",3,3,77,77,3,7,False,0,Interception,Chandler Fields pass intercepted,0.058507267789034145,2022-09-18T00:16:40.000Z,3,Louisiana,2022
401426559101904001,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265593,3,2,1,"{'minutes': 9, 'seconds': 59}",3,3,77,77,3,7,False,0,Interception,Chandler Fields pass intercepted,0.058507267789034145,2022-09-17T23:49:40.000Z,3,Louisiana,2022
401426559101000009,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265593,3,3,1,"{'minutes': 0, 'seconds': 0}",3,3,80,80,1,10,False,6,Rush,Jacob Kibodi run for 6 yds to the LaLaf 26,0.2888240217992033,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000010,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265593,3,4,1,"{'minutes': 0, 'seconds': 0}",3,3,74,74,2,4,False,2,Pass Reception,Chandler Fields pass complete to Errol Rogers Jr. for 2 yds to the LaLaf 28,-0.45754153596897494,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000011,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,0,401426559,4014265593,3,5,1,"{'minutes': 0, 'seconds': 0}",3,3,72,72,3,2,False,-5,Penalty,"LOUISIANA Penalty, false start (John Stephens Jr.) to the LaLaf 23",,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101928201,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,0,401426559,4014265594,4,1,1,"{'minutes': 7, 'seconds': 17}",3,3,95,5,4,4,True,23,Field Goal Good,Christian VanSickle 23 yd FG GOOD,,2022-09-17T23:55:31.000Z,3,Louisiana,2022
401426559101000012,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265594,4,2,1,"{'minutes': 0, 'seconds': 0}",3,3,62,38,1,10,False,11,Rush,TJ McMahon run for 11 yds to the LaLaf 27 for a 1ST down,0.353311807193702,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000013,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265594,4,3,1,"{'minutes': 0, 'seconds': 0}",3,3,73,27,1,10,False,2,Rush,Ari Broussard run for 2 yds to the LaLaf 25,-0.262946006262057,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000014,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265594,4,4,1,"{'minutes': 0, 'seconds': 0}",3,3,75,25,2,8,False,14,Pass Reception,TJ McMahon pass complete to Luke McCaffrey for 14 yds to the LaLaf 11 for a 1ST down,0.482487434285618,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000015,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265594,4,5,1,"{'minutes': 0, 'seconds': 0}",3,3,89,11,1,10,False,0,Pass Incompletion,"TJ McMahon pass incomplete to Luke McCaffrey, broken up by Trey Amos",-0.291297448934314,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000016,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265594,4,6,1,"{'minutes': 0, 'seconds': 0}",3,3,89,11,2,10,False,1,Rush,Uriah West run for 1 yd to the LaLaf 10,-0.221345182146331,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000017,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,0,0,401426559,4014265594,4,7,1,"{'minutes': 0, 'seconds': 0}",3,3,90,10,3,9,False,5,Pass Reception,TJ McMahon pass complete to Isaiah Esdale for 5 yds to the LaLaf 5,0.0280360872469493,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101946701,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,3,401426559,4014265595,5,1,1,"{'minutes': 5, 'seconds': 32}",3,3,68,68,4,3,False,0,Punt,Rhys Byrns punt for 32 yds,,2022-09-18T00:01:38.000Z,3,Louisiana,2022
401426559101000018,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,3,401426559,4014265595,5,2,1,"{'minutes': 0, 'seconds': 0}",3,3,75,75,1,10,False,1,Rush,Chris Smith run for 1 yd to the LaLaf 26,-0.58747954310168553,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000019,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,3,401426559,4014265595,5,3,1,"{'minutes': 0, 'seconds': 0}",3,3,74,74,2,9,False,5,Penalty,"RICE Penalty, off-side (Quent Titre) to the LaLaf 31",,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000020,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,3,401426559,4014265595,5,4,1,"{'minutes': 0, 'seconds': 0}",3,3,69,69,2,4,False,1,Rush,Chris Smith run for 1 yd to the LaLaf 32,-0.7225289421677195,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000021,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,0,3,401426559,4014265595,5,5,1,"{'minutes': 0, 'seconds': 0}",3,3,68,68,3,3,False,0,Pass Incompletion,"Ben Wooldridge pass incomplete to Chris Smith, broken up by Trey Schuman",-0.513943533401327774,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101975201,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,7,401426559,4014265596,6,1,1,"{'minutes': 2, 'seconds': 47}",3,3,55,45,2,3,True,54,Interception Return Touchdown,Caleb Anderson 54 Yd Interception Return (Preston Stafford Kick),-10.6113409794253677,2022-09-18T00:07:14.000Z,3,Louisiana,2022
401426559101000022,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,0,401426559,4014265596,6,2,1,"{'minutes': 0, 'seconds': 0}",3,3,36,64,1,10,False,-1,Rush,Uriah West run for a loss of 1 yard to the Rice 35,-1.2088420704637137,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000023,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,0,401426559,4014265596,6,3,1,"{'minutes': 0, 'seconds': 0}",3,3,35,65,2,11,False,6,Pass Reception,TJ McMahon pass complete to Luke McCaffrey for 6 yds to the Rice 41,0.2283117644341468,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000024,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,0,401426559,4014265596,6,4,1,"{'minutes': 0, 'seconds': 0}",3,3,41,59,3,5,False,7,Pass Reception,TJ McMahon pass complete to Jack Bradley for 7 yds to the Rice 48 for a 1ST down,2.1196686250944669,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000025,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,0,401426559,4014265596,6,5,1,"{'minutes': 0, 'seconds': 0}",3,3,48,52,1,10,False,7,Pass Reception,TJ McMahon pass complete to Luke McCaffrey for 7 yds to the LaLaf 45,0.6193952681357987,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101995201,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,7,401426559,4014265597,7,1,1,"{'seconds': 47, 'minutes': 0}",3,3,42,58,3,6,False,0,Interception,TJ McMahon pass intercepted,-0.8327557802989025,2022-09-18T00:15:14.000Z,3,Louisiana,2022
401426559101000026,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,7,401426559,4014265597,7,2,1,"{'minutes': 0, 'seconds': 0}",3,3,25,75,1,10,False,13,Rush,Cameron Montgomery run for 13 yds to the Rice 38 for a 1ST down,1.1247514790418309,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000027,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,7,401426559,4014265597,7,3,1,"{'minutes': 0, 'seconds': 0}",3,3,38,62,1,10,False,9,Rush,Cameron Montgomery run for 9 yds to the Rice 47,1.3663728610382950,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559101000028,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,3,7,401426559,4014265597,7,4,1,"{'minutes': 0, 'seconds': 0}",3,3,47,53,2,1,False,-5,Sack,TJ McMahon sacked for a loss of 5 yards to the Rice 42,-2.5806134400599019,2022-09-17T23:37:42.000Z,3,Louisiana,2022
401426559102974701,Rice,Conference USA,Louisiana,Sun Belt,Rice,Louisiana,10,7,401426559,40142655911,8,1,2,"{'minutes': 2, 'seconds': 52}",3,3,22,78,1,10,False,0,Interception,TJ McMahon pass intercepted,-0.7280151976588778,2022-09-18T00:49:14.000Z,3,Louisiana,2022
401426559101995202,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,7,3,401426559,4014265598,9,1,1,"{'minutes': 0, 'seconds': 0}",3,3,54,54,0,10,False,0,End Period,End of 1st Quarter,,2022-09-18T00:16:40.000Z,3,Louisiana,2022
401426559102849901,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,7,3,401426559,4014265598,9,2,2,"{'minutes': 15, 'seconds': 0}",3,3,46,46,3,10,False,20,Rush,Jacob Kibodi run for 20 yds to the Rice 26 for a 1ST down,2.9136667035528667,2022-09-18T00:17:50.000Z,3,Louisiana,2022
401426559102849903,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,14,13,401426559,4014265598,9,3,2,"{'minutes': 15, 'seconds': 0}",3,3,26,26,1,10,False,6,Rush,Jacob Kibodi run for 6 yds to the Rice 20,0.1981539364012105,2022-09-18T00:17:50.000Z,3,Louisiana,2022
401426559102849904,Louisiana,Sun Belt,Rice,Conference USA,Rice,Louisiana,14,13,401426559,4014265598,9,4,2,"{'minutes': 15, 'seconds': 0}",3,3,20,20,2,4,False,3,Rush,Jacob Kibodi run for 3 yds to the Rice 17,-0.159976917355765,2022-09-18T00:17:50.000Z,3,Louisiana,2022
