id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401414784101854201,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,0,0,401414784,4014147841,1,1,1,"{'minutes': 14, 'seconds': 57}",3,3,35,65,0,0,False,10,Kickoff Return (Offense),"Tristan Mattson kickoff for 63 yds , Greg Desrosiers Jr. return for 10 yds to the UMass 12",,2022-11-12T20:03:02.000Z,11,Arkansas State,2022
401414784101854203,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,0,401414784,4014147841,1,2,1,"{'minutes': 14, 'seconds': 57}",3,3,88,88,1,10,False,0,Pass Incompletion,Brady Olson pass incomplete,-0.38265654103566682,2022-11-12T20:03:02.000Z,11,Arkansas State,2022
401414784101854204,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,0,401414784,4014147841,1,3,1,"{'minutes': 14, 'seconds': 57}",3,3,88,88,2,10,False,8,Pass Reception,Brady Olson pass complete to Josiah Johnson for 8 yds to the UMass 20,0.27930032150682394,2022-11-12T20:03:02.000Z,11,Arkansas State,2022
401414784101854205,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,0,401414784,4014147841,1,4,1,"{'minutes': 14, 'seconds': 57}",3,3,80,80,3,2,False,-5,Penalty,"UMASS Penalty, False Start (-5 Yards) to the UMass 15",,2022-11-12T20:03:02.000Z,11,Arkansas State,2022
401414784101854206,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,0,401414784,4014147841,1,5,1,"{'minutes': 14, 'seconds': 57}",3,3,85,85,3,7,False,0,Rush,Brady Olson run for no gain to the UMass 15,-0.12816875376005398,2022-11-12T20:05:06.000Z,11,Arkansas State,2022
401414784101868801,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,0,401414784,4014147841,1,6,1,"{'minutes': 13, 'seconds': 11}",3,3,85,85,4,7,False,0,Punt,"CJ Kolodziey punt for 51 yds, downed at the ArkSt 34",,2022-11-12T20:06:31.000Z,11,Arkansas State,2022
401414784101868803,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,0,0,401414784,4014147842,2,1,1,"{'minutes': 13, 'seconds': 11}",3,3,34,66,1,10,False,23,Rush,Johnnie Lang run for 23 yds to the UMass 43 for a 1ST down,1.9843993017987600,2022-11-12T20:06:31.000Z,11,Arkansas State,2022
401414784101868804,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,0,0,401414784,4014147842,2,2,1,"{'minutes': 13, 'seconds': 11}",3,3,57,43,1,10,False,29,Pass Reception,James Blackman pass complete to Champ Flemings for 29 yds to the UMass 14 for a 1ST down,0.8040869127517727,2022-11-12T20:06:31.000Z,11,Arkansas State,2022
401414784101868805,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,0,0,401414784,4014147842,2,3,1,"{'minutes': 13, 'seconds': 11}",3,3,86,14,1,10,False,-3,Rush,Johnnie Lang run for a loss of 3 yards to the UMass 17,-0.5201208544582075,2022-11-12T20:06:31.000Z,11,Arkansas State,2022
401414784101886701,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,0,401414784,4014147842,2,4,1,"{'minutes': 11, 'seconds': 32}",3,3,83,17,2,13,True,17,Passing Touchdown,"James Blackman pass complete to Seydou Traore for 17 yds for a TD, (Dominic Zvada KICK)",3.068404029637289,2022-11-12T20:08:46.000Z,11,Arkansas State,2022
401414784101886704,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,0,401414784,4014147843,3,1,1,"{'minutes': 11, 'seconds': 32}",2,3,97,3,1,3,False,0,Timeout,"Timeout ARKANSAS ST, clock 11:32",,2022-11-12T20:08:46.000Z,11,Arkansas State,2022
401414784101886705,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,0,401414784,4014147843,3,2,1,"{'minutes': 11, 'seconds': 32}",2,3,35,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101886707,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,3,1,"{'minutes': 11, 'seconds': 32}",3,2,75,75,1,10,False,15,Pass Reception,Brady Olson pass complete to Cameron Sullivan-Brown for 15 yds to the UMass 40 for a 1ST down,1.3208545155776461,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101886708,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,4,1,"{'minutes': 11, 'seconds': 32}",3,2,60,60,1,10,False,5,Rush,Jordan Mahoney run for 5 yds to the UMass 45,0.1106144250151839,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101886709,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,5,1,"{'minutes': 11, 'seconds': 32}",3,2,55,55,2,5,False,29,Pass Reception,Brady Olson pass complete to Jacquon Gibson for 29 yds to the ArkSt 26 for a 1ST down,1.9262840567203110,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101886710,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,6,1,"{'minutes': 11, 'seconds': 32}",3,2,26,26,1,10,False,0,Pass Incompletion,Brady Olson pass incomplete,-0.4710467974920665,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101886711,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,7,1,"{'minutes': 11, 'seconds': 32}",3,2,26,26,2,10,False,4,Pass Reception,Brady Olson pass complete to Zamar Wise for 4 yds to the ArkSt 22,-0.0719446242097756,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101886712,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,8,1,"{'minutes': 11, 'seconds': 32}",3,2,22,22,3,6,False,3,Rush,Ellis Merriweather run for 3 yds to the ArkSt 19,-0.2169327519026521,2022-11-12T20:12:23.000Z,11,Arkansas State,2022
401414784101915801,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,7,401414784,4014147843,3,9,1,"{'minutes': 8, 'seconds': 41}",3,2,19,19,4,3,True,37,Field Goal Good,Cameron Carson 37 yd FG GOOD,,2022-11-12T20:19:00.000Z,11,Arkansas State,2022
401414784101915803,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,0,7,401414784,4014147843,3,10,1,"{'minutes': 8, 'seconds': 41}",3,1,65,65,0,0,False,0,Timeout,"Timeout ARKANSAS ST, clock 08:41",,2022-11-12T20:20:35.000Z,11,Arkansas State,2022
401414784101916501,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,7,401414784,4014147844,4,1,1,"{'minutes': 8, 'seconds': 34}",3,1,65,65,0,0,False,21,Kickoff Return (Offense),"CJ Kolodziey kickoff for 54 yds , Johnnie Lang return for 21 yds to the ArkSt 6",,2022-11-12T20:22:33.000Z,11,Arkansas State,2022
401414784101916503,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,3,401414784,4014147844,4,2,1,"{'minutes': 8, 'seconds': 34}",1,3,22,78,1,10,False,3,Rush,Johnnie Lang run for 3 yds to the ArkSt 25,-0.2595333371439592,2022-11-12T20:22:33.000Z,11,Arkansas State,2022
401414784101916504,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,3,401414784,4014147844,4,3,1,"{'minutes': 8, 'seconds': 34}",1,3,25,75,2,7,False,-9,Sack,James Blackman sacked by Nahji Logan for a loss of 9 yards to the ArkSt 16,-0.7996229468535079,2022-11-12T20:22:33.000Z,11,Arkansas State,2022
401414784101916505,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,3,401414784,4014147844,4,4,1,"{'minutes': 8, 'seconds': 34}",1,3,16,84,3,16,False,9,Pass Reception,James Blackman pass complete to Johnnie Lang for 9 yds to the ArkSt 25,0.09491095728228239,2022-11-12T20:24:49.000Z,11,Arkansas State,2022
401414784101936801,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,7,3,401414784,4014147844,4,5,1,"{'minutes': 6, 'seconds': 31}",1,3,25,75,4,7,False,0,Punt,William Przystup punt for 54 yds,,2022-11-12T20:25:36.000Z,11,Arkansas State,2022
401414784101936802,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,7,401414784,4014147844,4,6,1,"{'minutes': 6, 'seconds': 31}",3,0,79,79,1,10,False,0,Timeout,"Timeout ARKANSAS ST, clock 06:31",,2022-11-12T20:25:40.000Z,11,Arkansas State,2022
401414784101936804,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,7,401414784,4014147845,5,1,1,"{'minutes': 6, 'seconds': 31}",3,0,79,79,1,10,False,-3,Rush,Isaiah Holiness run for a loss of 3 yards to the UMass 18,-0.78906005857604098,2022-11-12T20:28:38.000Z,11,Arkansas State,2022
401414784101936805,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,7,401414784,4014147845,5,2,1,"{'minutes': 6, 'seconds': 31}",3,0,82,82,2,13,False,0,Rush,Ellis Merriweather run for no gain to the UMass 18,-0.16369663649297992,2022-11-12T20:28:38.000Z,11,Arkansas State,2022
401414784101948701,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,14,401414784,4014147845,5,3,1,"{'minutes': 5, 'seconds': 12}",3,0,82,82,3,13,True,27,Interception Return Touchdown,Trevian Thomas 27 Yd Interception Return (Dominic Zvada Kick),-6.7167085151138233,2022-11-12T20:32:55.000Z,11,Arkansas State,2022
401414784101948703,Arkansas State,Sun Belt,UMass,FBS Independents,Arkansas State,UMass,14,3,401414784,4014147846,6,1,1,"{'minutes': 5, 'seconds': 12}",0,3,35,65,0,0,False,0,Kickoff,Tristan Mattson kickoff for 65 yds for a touchback,,2022-11-12T20:32:55.000Z,11,Arkansas State,2022
401414784101948705,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,14,401414784,4014147846,6,2,1,"{'minutes': 5, 'seconds': 12}",3,0,75,75,1,10,False,5,Rush,Brady Olson run for 5 yds to the UMass 30,0.0945451165334843,2022-11-12T20:32:55.000Z,11,Arkansas State,2022
401414784101959201,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,14,401414784,4014147846,6,3,1,"{'minutes': 4, 'seconds': 7}",3,-1,65,65,1,10,False,0,Timeout,"Timeout ARKANSAS ST, clock 04:07",,2022-11-12T20:34:15.000Z,11,Arkansas State,2022
401414784101959202,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,14,401414784,4014147846,6,4,1,"{'minutes': 4, 'seconds': 7}",3,-1,70,70,2,5,False,5,Rush,Greg Desrosiers Jr. run for 5 yds to the UMass 35 for a 1ST down,0.7404929924965024,2022-11-12T20:34:15.000Z,11,Arkansas State,2022
401414784101959203,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,14,401414784,4014147846,6,5,1,"{'minutes': 4, 'seconds': 7}",3,-1,65,65,1,10,False,0,Pass Incompletion,Brady Olson pass incomplete,-1.0146424556055624,2022-11-12T20:34:15.000Z,11,Arkansas State,2022
401414784101959204,UMass,FBS Independents,Arkansas State,Sun Belt,Arkansas State,UMass,3,14,401414784,4014147846,6,6,1,"{'minutes': 4, 'seconds': 7}",3,-1,65,65,2,10,False,5,Rush,Greg Desrosiers Jr. run for 5 yds to the UMass 40,0.0590155037822537,2022-11-12T20:36:26.000Z,11,Arkansas State,2022
