id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426389101849903,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,0,401426389,4014263891,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Jacob Meeks kickoff for 65 yds for a touchback,,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101849905,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,0,0,401426389,4014263891,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,6,Rush,Hayden Wolff run for 6 yds to the ODU 31,0.3333748010525683,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101849906,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,0,0,401426389,4014263891,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,2,4,False,36,Pass Reception,Hayden Wolff pass complete to Blake Watson for 36 yds to the SAlab 33 for a 1ST down,2.8413055451667652,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101849907,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,0,0,401426389,4014263891,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,33,33,1,10,False,2,Rush,Blake Watson run for 2 yds to the SAlab 31,-0.3377843039747627,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101849908,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,0,0,401426389,4014263891,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,31,31,2,8,False,5,Rush,Blake Watson run for 5 yds to the SAlab 26,0.0652426388008927,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101876501,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,0,401426389,4014263891,1,6,1,"{'minutes': 12, 'seconds': 34}",3,3,26,26,3,3,True,26,Passing Touchdown,"Hayden Wolff pass complete to Javon Harvey for 26 yds for a TD, (Ethan Sanchez KICK)",3.175616438675858,2022-11-26T17:06:16.000Z,13,South Alabama,2022
401426389101876503,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,0,401426389,4014263892,2,1,1,"{'minutes': 12, 'seconds': 34}",3,3,65,65,1,10,False,0,Kickoff,Dominik Soos kickoff for 65 yds for a touchback,,2022-11-26T17:06:16.000Z,13,South Alabama,2022
401426389101876505,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,2,1,"{'minutes': 12, 'seconds': 34}",3,3,25,75,1,10,False,2,Rush,Braylon McReynolds run for 2 yds to the SAlab 27,-0.45260367932203764,2022-11-26T17:06:16.000Z,13,South Alabama,2022
401426389101876506,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,3,1,"{'minutes': 12, 'seconds': 34}",3,3,27,73,2,8,False,11,Pass Reception,Carter Bradley pass complete to Braylon McReynolds for 11 yds to the SAlab 38 for a 1ST down,1.57735515836386854,2022-11-26T17:06:16.000Z,13,South Alabama,2022
401426389101876507,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,4,1,"{'minutes': 12, 'seconds': 34}",3,3,38,62,1,10,False,3,Rush,Carter Bradley run for 3 yds to the SAlab 41,-0.4251117664036599,2022-11-26T17:20:31.000Z,13,South Alabama,2022
401426389101888901,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,5,1,"{'minutes': 11, 'seconds': 10}",2,3,41,59,2,7,False,0,Timeout,"Timeout SOUTH ALABAMA, clock 11:10",,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888902,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,6,1,"{'minutes': 11, 'seconds': 10}",2,3,41,59,2,7,False,11,Pass Reception,Carter Bradley pass complete to Devin Voisin for 11 yds to the ODU 48 for a 1ST down,1.6918815708031935,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888903,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,7,1,"{'minutes': 11, 'seconds': 10}",2,3,52,48,1,10,False,6,Rush,Braylon McReynolds run for 6 yds to the ODU 42,0.3287785418261394,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888904,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,8,1,"{'minutes': 11, 'seconds': 10}",2,3,58,42,2,4,False,0,Pass Incompletion,Carter Bradley pass incomplete to Jalen Wayne,-1.0865401143644624,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888905,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,9,1,"{'minutes': 11, 'seconds': 10}",2,3,58,42,3,4,False,16,Pass Reception,Carter Bradley pass complete to Caullin Lacy for 16 yds to the ODU 26 for a 1ST down,1.7239932864100995,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888906,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,10,1,"{'minutes': 11, 'seconds': 10}",2,3,69,31,1,15,False,1,Rush,Omni Wells run for 1 yd to the ODU 30,-0.4803427165056745,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888907,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,11,1,"{'minutes': 11, 'seconds': 10}",2,3,70,30,2,14,False,3,Rush,Omni Wells run for 3 yds to the ODU 27,-0.2851337257546920,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888908,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,12,1,"{'minutes': 11, 'seconds': 10}",2,3,73,27,3,11,False,9,Pass Reception,Carter Bradley pass complete to Caullin Lacy for 9 yds to the ODU 18,0.6568681398012755,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888909,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,13,1,"{'minutes': 11, 'seconds': 10}",2,3,82,18,4,2,False,5,Rush,Carter Bradley run for 5 yds to the ODU 13 for a 1ST down,0.803792641281556,2022-11-26T17:49:46.000Z,13,South Alabama,2022
401426389101888910,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,14,1,"{'minutes': 11, 'seconds': 10}",2,3,87,13,1,10,False,3,Rush,Omni Wells run for 3 yds to the ODU 10,-0.098600859057136,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101888911,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,0,7,401426389,4014263892,2,15,1,"{'minutes': 11, 'seconds': 10}",2,3,90,10,2,7,False,0,Pass Incompletion,Carter Bradley pass incomplete to Jalen Wayne,-0.3051840415958636,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101939001,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263892,2,16,1,"{'minutes': 6, 'seconds': 9}",2,3,90,10,3,7,True,10,Passing Touchdown,"Carter Bradley pass complete to Caullin Lacy for 10 yds for a TD, (Diego Guajardo KICK)",2.9427141156988466,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101939601,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,1,1,"{'minutes': 6, 'seconds': 3}",2,3,35,65,1,10,False,24,Kickoff Return (Offense),"Jacob Meeks kickoff for 65 yds , LaMareon James return for 24 yds to the ODU 24",,2022-11-26T17:26:04.000Z,13,South Alabama,2022
401426389101939603,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,2,1,"{'minutes': 6, 'seconds': 3}",3,2,76,76,1,10,False,35,Rush,Blake Watson run for 35 yds to the SAlab 41 for a 1ST down,2.9050987175192713,2022-11-26T17:26:04.000Z,13,South Alabama,2022
401426389101939604,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,3,1,"{'minutes': 6, 'seconds': 3}",3,2,41,41,1,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Javon Harvey,-0.8772679222659559,2022-11-26T17:26:04.000Z,13,South Alabama,2022
401426389101939605,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,4,1,"{'minutes': 6, 'seconds': 3}",3,2,41,41,2,10,False,14,Pass Reception,Hayden Wolff pass complete to Ahmarian Granger for 14 yds to the SAlab 27 for a 1ST down,1.3765067067709893,2022-11-26T17:26:04.000Z,13,South Alabama,2022
401426389101948001,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,5,1,"{'minutes': 5, 'seconds': 19}",3,1,27,27,1,10,False,0,Timeout,"Timeout SOUTH ALABAMA, clock 05:19",,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101948002,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,6,1,"{'minutes': 5, 'seconds': 19}",3,1,27,27,1,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Ahmarian Granger,-0.490975886965904,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101948003,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,7,1,"{'minutes': 5, 'seconds': 19}",3,1,27,27,2,10,False,9,Rush,Blake Watson run for 9 yds to the SAlab 18,0.52713270781639,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101948004,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,8,1,"{'minutes': 5, 'seconds': 19}",3,1,18,18,3,1,False,2,Rush,Blake Watson run for 2 yds to the SAlab 16 for a 1ST down,0.1364012992486256,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101948005,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,9,1,"{'minutes': 5, 'seconds': 19}",3,1,16,16,1,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Donta Anthony Jr.,-0.3301132067544156,2022-11-26T17:49:46.000Z,13,South Alabama,2022
401426389101948006,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,10,1,"{'minutes': 5, 'seconds': 19}",3,1,16,16,2,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Keshawn Wicks,-0.380857143240037,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101948007,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,7,7,401426389,4014263893,3,11,1,"{'minutes': 5, 'seconds': 19}",3,1,16,16,3,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Marqeese Dietz,-0.6054531380764453,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101967201,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,7,401426389,4014263893,3,12,1,"{'minutes': 3, 'seconds': 27}",3,1,16,16,4,10,True,33,Field Goal Good,Ethan Sanchez 33 yd FG GOOD,,2022-11-26T17:33:47.000Z,13,South Alabama,2022
401426389101967202,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,7,401426389,4014263894,4,1,1,"{'minutes': 3, 'seconds': 27}",3,1,65,65,1,10,False,0,Kickoff,Dominik Soos kickoff for 65 yds,,2022-11-26T17:33:47.000Z,13,South Alabama,2022
401426389101967204,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263894,4,2,1,"{'minutes': 3, 'seconds': 27}",1,3,25,75,1,10,False,18,Pass Reception,Carter Bradley pass complete to Jalen Wayne for 18 yds to the SAlab 43 for a 1ST down,1.6124384222099950,2022-11-26T17:33:47.000Z,13,South Alabama,2022
401426389101967205,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263894,4,3,1,"{'minutes': 3, 'seconds': 27}",1,3,43,57,1,10,False,0,Pass Incompletion,Carter Bradley pass incomplete to Jalen Wayne,-1.1571475513496701,2022-11-26T17:33:47.000Z,13,South Alabama,2022
401426389101967206,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263894,4,4,1,"{'minutes': 3, 'seconds': 27}",1,3,43,57,2,10,False,0,Pass Incompletion,Carter Bradley pass incomplete to Brandon Crum,-0.8515277404326280,2022-11-26T17:33:47.000Z,13,South Alabama,2022
401426389101967207,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263894,4,5,1,"{'minutes': 3, 'seconds': 27}",1,3,43,57,3,10,False,4,Pass Reception,Carter Bradley pass complete to Omni Wells for 4 yds to the SAlab 47,-0.0970487476939237,2022-11-26T17:33:47.000Z,13,South Alabama,2022
401426389101984301,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263894,4,6,1,"{'minutes': 1, 'seconds': 56}",1,3,47,53,4,6,False,0,Punt,Jack Brooks punt for 53 yds for a touchback,,2022-11-26T17:38:16.000Z,13,South Alabama,2022
401426389101984303,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,7,401426389,4014263895,5,1,1,"{'minutes': 1, 'seconds': 56}",3,1,80,80,1,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Javon Harvey,-0.55866937967252815,2022-11-26T17:38:16.000Z,13,South Alabama,2022
401426389101984304,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,7,401426389,4014263895,5,2,1,"{'minutes': 1, 'seconds': 56}",3,1,80,80,2,10,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Marquez Bell,-0.26081385207643137,2022-11-26T17:38:16.000Z,13,South Alabama,2022
401426389101986801,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,7,401426389,4014263895,5,3,1,"{'minutes': 1, 'seconds': 31}",3,1,80,80,4,10,False,0,Punt,"Ethan Duane punt for 47 yds , Caullin Lacy returns for no gain to the SAlab 33",,2022-11-26T17:42:05.000Z,13,South Alabama,2022
401426389101986803,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,1,1,"{'minutes': 1, 'seconds': 31}",1,3,33,67,1,10,False,8,Rush,La'Damian Webb run for 8 yds to the SAlab 41,1.0284623848933538,2022-11-26T17:42:05.000Z,13,South Alabama,2022
401426389101986804,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,2,1,"{'minutes': 1, 'seconds': 31}",1,3,41,59,2,2,False,11,Rush,La'Damian Webb run for 11 yds to the ODU 48 for a 1ST down,0.714360447967838,2022-11-26T17:42:05.000Z,13,South Alabama,2022
401426389101994401,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,3,1,"{'seconds': 55, 'minutes': 0}",0,3,52,48,1,10,False,0,Timeout,"Timeout SOUTH ALABAMA, clock 00:55",,2022-11-26T17:02:46.000Z,13,South Alabama,2022
401426389101994402,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,4,1,"{'seconds': 55, 'minutes': 0}",0,3,52,48,1,10,False,14,Rush,Braylon McReynolds run for 14 yds to the ODU 34 for a 1ST down,0.749507675366287,2022-11-26T17:47:14.000Z,13,South Alabama,2022
401426389101999901,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,5,1,"{'minutes': 0, 'seconds': 0}",0,3,66,34,1,10,False,9,Rush,La'Damian Webb run for 9 yds to the ODU 25,0.73596654934212,2022-11-26T17:47:14.000Z,13,South Alabama,2022
401426389101999902,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,6,1,"{'minutes': 0, 'seconds': 0}",0,3,66,34,0,10,False,0,End Period,End of 1st Quarter,,2022-11-26T17:47:14.000Z,13,South Alabama,2022
401426389102849902,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,7,2,"{'minutes': 15, 'seconds': 0}",0,3,75,25,2,1,False,1,Rush,La'Damian Webb run for 1 yd to the ODU 24 for a 1ST down,-0.480678337035425,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102849903,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,8,2,"{'minutes': 15, 'seconds': 0}",0,3,76,24,1,10,False,0,Pass Incompletion,Carter Bradley pass incomplete to Brandon Crum,-0.4346450377339437,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102857301,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,9,2,"{'minutes': 14, 'seconds': 26}",-1,3,76,24,2,10,False,0,Timeout,"Timeout SOUTH ALABAMA, clock 14:26",,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102857302,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,10,2,"{'minutes': 14, 'seconds': 26}",-1,3,76,24,2,10,False,14,Rush,Desmond Trotter run for 14 yds to the ODU 10 for a 1ST down,0.6022561440914767,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102857303,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,11,2,"{'minutes': 14, 'seconds': 26}",-1,3,90,10,1,10,False,3,Rush,Omni Wells run for 3 yds to the ODU 7,-0.093321625768295,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102857304,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,12,2,"{'minutes': 14, 'seconds': 26}",-1,3,93,7,2,7,False,2,Rush,La'Damian Webb run for 2 yds to the ODU 5,-0.154451161150853,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102857305,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,7,10,401426389,4014263896,6,13,2,"{'minutes': 14, 'seconds': 26}",-1,3,95,5,3,5,False,0,Pass Incompletion,Carter Bradley pass incomplete to Lincoln Sefcik,-0.290992528642002,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102877801,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263896,6,14,2,"{'minutes': 12, 'seconds': 21}",-1,3,95,5,4,5,True,23,Field Goal Good,Diego Guajardo 23 yd FG GOOD,,2022-11-26T17:54:47.000Z,13,South Alabama,2022
401426389102877802,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,1,2,"{'minutes': 12, 'seconds': 21}",-1,3,35,65,1,10,False,0,Kickoff,Jacob Meeks kickoff for 65 yds for a touchback,,2022-11-26T17:54:47.000Z,13,South Alabama,2022
401426389102877804,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,2,2,"{'minutes': 12, 'seconds': 21}",3,-1,75,75,1,10,False,18,Rush,Blake Watson run for 18 yds to the ODU 43 for a 1ST down,1.6124384222099950,2022-11-26T17:54:47.000Z,13,South Alabama,2022
401426389102877805,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,3,2,"{'minutes': 12, 'seconds': 21}",3,-1,57,57,1,10,False,3,Rush,Blake Watson run for 3 yds to the ODU 46,-0.4309799951978805,2022-11-26T17:54:47.000Z,13,South Alabama,2022
401426389102877806,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,4,2,"{'minutes': 12, 'seconds': 21}",3,-1,49,49,2,2,False,24,Pass Reception,Hayden Wolff pass complete to Blake Watson for 24 yds to the SAlab 25 for a 1ST down,0.7885657211242823,2022-11-26T17:59:41.000Z,13,South Alabama,2022
401426389102877807,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,5,2,"{'minutes': 12, 'seconds': 21}",3,-1,25,25,1,10,False,1,Rush,Blake Watson run for 1 yd to the SAlab 26,-0.3463709171906278,2022-11-26T17:59:41.000Z,13,South Alabama,2022
401426389102877808,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,6,2,"{'minutes': 12, 'seconds': 21}",3,-1,26,26,2,11,False,0,Pass Incompletion,Hayden Wolff pass incomplete to Javon Harvey,-0.660269796874765,2022-11-26T17:59:41.000Z,13,South Alabama,2022
401426389102904401,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,7,2,"{'minutes': 9, 'seconds': 55}",2,-1,26,26,3,11,False,0,Timeout,"Timeout OLDDOMINION, clock 09:55",,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102904402,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,8,2,"{'minutes': 9, 'seconds': 55}",2,-1,26,26,3,11,False,10,Pass Reception,Hayden Wolff pass complete to Isiah Paige for 10 yds to the SAlab 16,0.7525541113925627,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102904403,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,10,10,401426389,4014263897,7,9,2,"{'minutes': 9, 'seconds': 55}",2,-1,16,16,4,1,False,10,Rush,Blake Watson run for 10 yds to the SAlab 6 for a 1ST down,1.1189659191684793,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102916601,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,17,10,401426389,4014263897,7,10,2,"{'minutes': 8, 'seconds': 33}",2,-1,6,6,1,6,True,6,Passing Touchdown,"Hayden Wolff pass complete to Blake Watson for 6 yds for a TD, (Ethan Sanchez KICK)",2.052489771065277,2022-11-26T18:07:05.000Z,13,South Alabama,2022
401426389102917301,Old Dominion,Sun Belt,South Alabama,Sun Belt,South Alabama,Old Dominion,17,10,401426389,4014263898,8,1,2,"{'minutes': 8, 'seconds': 26}",2,-1,65,65,1,10,False,20,Kickoff Return (Offense),"Dominik Soos kickoff for 65 yds , Braylon McReynolds return for 20 yds to the SAlab 20",,2022-11-26T18:11:04.000Z,13,South Alabama,2022
401426389102917303,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,2,2,"{'minutes': 8, 'seconds': 26}",-1,2,20,80,1,10,False,7,Pass Reception,Carter Bradley pass complete to Devin Voisin for 7 yds to the SAlab 27,0.5253025865520424,2022-11-26T18:11:04.000Z,13,South Alabama,2022
401426389102917304,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,3,2,"{'minutes': 8, 'seconds': 26}",-1,2,27,73,2,3,False,1,Rush,Braylon McReynolds run for 1 yd to the SAlab 28,-0.69402010072181404,2022-11-26T18:11:04.000Z,13,South Alabama,2022
401426389102917305,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,4,2,"{'minutes': 8, 'seconds': 26}",-1,2,28,72,3,2,False,5,Pass Reception,Carter Bradley pass complete to Caullin Lacy for 5 yds to the SAlab 33 for a 1ST down,1.12571864063372564,2022-11-26T18:12:51.000Z,13,South Alabama,2022
401426389102917306,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,5,2,"{'minutes': 8, 'seconds': 26}",-1,2,33,67,1,10,False,5,Rush,Braylon McReynolds run for 5 yds to the SAlab 38,0.1068735075937823,2022-11-26T18:12:51.000Z,13,South Alabama,2022
401426389102917307,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,6,2,"{'minutes': 8, 'seconds': 26}",-1,2,38,62,2,5,False,7,Rush,Braylon McReynolds run for 7 yds to the SAlab 45 for a 1ST down,1.0455699242310015,2022-11-26T18:14:03.000Z,13,South Alabama,2022
401426389102917308,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,7,2,"{'minutes': 8, 'seconds': 26}",-1,2,45,55,1,10,False,4,Rush,Braylon McReynolds run for 4 yds to the SAlab 49,-0.1607620955039497,2022-11-26T18:14:03.000Z,13,South Alabama,2022
401426389102917309,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,8,2,"{'minutes': 8, 'seconds': 26}",-1,2,49,51,2,6,False,18,Pass Reception,Carter Bradley pass complete to Devin Voisin for 18 yds to the ODU 33 for a 1ST down,1.5343005593183267,2022-11-26T18:14:03.000Z,13,South Alabama,2022
401426389102954201,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,9,2,"{'minutes': 4, 'seconds': 57}",-2,2,67,33,1,10,False,0,Timeout,"Timeout SOUTH ALABAMA, clock 04:57",,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102954202,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,10,2,"{'minutes': 4, 'seconds': 57}",-2,2,67,33,1,10,False,0,Rush,Omni Wells run for no gain to the ODU 33,-0.6351269961541294,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102954203,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,11,2,"{'minutes': 4, 'seconds': 57}",-2,2,67,33,2,10,False,5,Rush,Omni Wells run for 5 yds to the ODU 28,0.0567533407587514,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102954204,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,10,17,401426389,4014263898,8,12,2,"{'minutes': 4, 'seconds': 57}",-2,2,72,28,3,5,False,0,Rush,Omni Wells run for no gain to the ODU 28,-0.859444287714840,2022-11-26T17:47:47.000Z,13,South Alabama,2022
401426389102974701,South Alabama,Sun Belt,Old Dominion,Sun Belt,South Alabama,Old Dominion,13,17,401426389,4014263898,8,13,2,"{'minutes': 2, 'seconds': 52}",-2,2,72,28,4,5,True,46,Field Goal Good,Diego Guajardo 46 yd FG GOOD,,2022-11-26T18:18:09.000Z,13,South Alabama,2022
